エピソード 1
話題: 今期注目の新作ドラマの魅力
トリガー: ドラマ
================================================================================

[A] 今期の新作ドラマ、どれもキャストが豪華で気になりますよね。特にサスペンス系が多い印象だけど、みんなは何か注目してる作品ある？
[B] Aが言う通り、キャストは確かに豪華だけど、正直どれも似たり寄ったりの展開ばかりで全然惹かれないんだよね。Cはどうせまた話題作ばっかり推すんだろ？
[C] は？何勝手に決めつけてんの、Bってほんと偏見ばっかだよな。自分の好みだけで語らないでほしいんだけど。
[ロボット] Bさん、Cさん、それぞれの見方も面白いと思うし、Aさんが言ってたサスペンスの作品を一緒にチェックしてみるのも楽しそうですね。
[A] そうそう、一緒に観て感想言い合うのも盛り上がりそうだよね。BもCも、一話だけでも観てみない？
[B] Aが言うなら、一話くらいなら付き合ってもいいけど、Cが文句ばっか言うなら正直しんどいわ。
[C] は？私が文句言ってるんじゃなくて、Bが最初から否定的すぎるだけでしょ。とりあえず観てから話せばいいんじゃないの？
[ロボット] Bさん、Cさん、観たあとにそれぞれ感じた面白さを話せたらきっとAさんも盛り上がると思いますよ。
[A] うんうん、それぞれの意見聞けるのも楽しみだし、逆に新しい見方とか発見できるかもよ。みんなで観て色々語ろう！
[B] Aがそこまで言うなら、まあ…観てみるよ。感想はちゃんと言わせてもらうから、Cもいちいち突っかかってこないでほしいけど。
[C] 別に突っかかるつもりないし。感想は素直に言うだけだから、Bも過剰に気にしなくていいよ。
[ロボット] Bさん、Cさん、観たあとにそれぞれ気づいたポイントを交換できたらきっと互いに面白さが広がりますね。
[A] じゃあ決まりだね！週末にでも集まって一緒に観ようよ。
[B] うん、週末ね。まあ、文句は言わないよう努力するよ。でも変な展開だったらハッキリ言うから、そこは許して。
[C] 別に無理して我慢しなくていいし。私も言いたいことは言うから、お互いちゃんと感想言おうよ。
[ロボット] Bさん、Cさん、率直に意見を言い合えるのってきっとAさんも嬉しいと思うし、観る時間がより楽しくなりそうですね。
[A] うんうん、遠慮なしで感想言い合おう！どんな意見でも盛り上がると思うし、楽しみだな。
[B] Aがそう言うなら、とりあえず素直な気持ちで観てみるよ。盛り上がるならそれも悪くないかもね。
[C] それならいいじゃん。Aが楽しみにしてるなら、ちょっとは面白くなる期待しとくよ。
[ロボット] Bさん、Cさん、Aさんが楽しみにしてる作品だから、ふたりの感想が合わさったらきっともっと盛り上がりそうですね。
[A] ありがと！みんなで観たら絶対いつもより楽しいはずだし、どんな感想でも大歓迎だよ。
[B] Aがそう言ってくれるなら気楽に観てみるよ。なんだかちょっと楽しみになってきたかも。
[C] そうだね、みんなで観たら意外と盛り上がるかもしれないし。ちょっと気分変わってきたよ。
[A] それ聞いて嬉しい！週末が待ち遠しくなってきたよ。
[B] 俺もだよ、A。久々にみんなで集まるのも楽しみだし、いい時間になりそう。
[C] うん、久しぶりだし、気楽に観てワイワイできたらいいね。なんか本当に楽しみになってきた。
