エピソード 2
話題: 電子書籍と紙の本の魅力の違い
トリガー: 読書
================================================================================

[A] 電子書籍って軽いだけで、紙の本みたいな手触りもないし、読んでて全然楽しくないんだけど。B、なんであんなの使うのか理解できないわ。
[B] は？紙の本なんて場所ばっかり取るし、持ち歩きも面倒だろ。電子書籍の便利さ、ちょっとは考えろよ。
[C] どっちも一長一短だよね。紙の本の匂いとか質感も好きだけど、電子書籍の手軽さも捨てがたいなぁ。
[ロボット] Aさん、Bさん、それぞれのこだわりが読書の楽しみ方の違いってだけで、意外とお互いに補い合える部分もありそうですね。
[A] まあ、補い合えるって言われても、紙の本のあの感覚はやっぱり譲れないんだよ。Bは便利さしか見てない気がしてイライラするんだよね。
[B] 便利さだけじゃなくて、どこでも読めるから世界広がるだろ。Aはこだわり強すぎじゃない？
[C] 私も紙の本の感覚は特別だと思うけど、Bの言う「どこでも読める」便利さも実際助かってるんだよな。
[ロボット] Aさん、Bさん、それぞれが本を楽しみたいって気持ちは同じだと思うから、読書への思いを少し共有してみてもいいかもしれませんね。
[A] 読書への思いって言われても、紙の本には思い入れがあるんだよ。Bにはその感覚が全然わかってもらえないのが腹立つんだ。
[B] そっちだって電子書籍の良さを全然理解しようとしないじゃん。自分の価値観押しつけすぎなんだよ。
[C] 両方の良さを知ってるから、どっちも否定しなくていいと思うんだよね。好きなスタイルで楽しめばいいんじゃない？
[ロボット] Aさん、Bさん、読書を楽しみたいって気持ちは同じだから、お互いの好きなスタイルがどうして心地いいのかを少し聞き合ってみてもいいかもしれませんね。
[A] Cの言う通り、否定するのはやめるべきなのかもな。でも、やっぱり紙の本の独特な雰囲気が忘れられないんだよ。
[B] まあ、その雰囲気もわかるけどさ、電子書籍だって自分のペースでいろんな本にすぐアクセスできるのが魅力なんだよ。自分にはその自由さが合ってるんだ。
[C] どっちの気持ちもすごくわかるよ。私も気分や場面で使い分けてるし、それぞれの良さがあると思うんだ。
[ロボット] Aさん、Bさん、それぞれが感じている心地よさの違いを認め合えば、きっとお互いの読書へのこだわりももっと自然に伝わりそうですね。
[A] そう言われると、少しは電子書籍の良さも認めたくなるかもな。でもやっぱり紙の本の温かみには勝てないって思っちゃうんだよ。
[B] まあ、それは好みの問題だから仕方ないかもな。俺は手軽さとか自由さの方がどうしても優先しちゃうんだよ。
[C] どっちも自分に合った楽しみ方があるんだね。私も気分で選ぶのがいちばんしっくりくるよ。
[ロボット] Aさん、Bさん、お互いが感じている読書の魅力って違う形でも自分らしく楽しみたいという同じ思いから来ている気がしますね。
[A] 確かに、自分らしく楽しむっていうのは大事かもな。少しずつだけど、Bの考えも理解できてきた気がするよ。
[B] そっちも歩み寄ってくれたなら、それはありがたいわ。俺も紙の本の雰囲気はちゃんと認めるよ。
[C] なんかちょっと距離が縮まった感じだね。お互いの良さを知ったら、もっと読書が楽しくなりそう。
[A] そうだな、こうやって話してみると意外と色々な楽しみ方があるんだって気付けたよ。ちょっと気持ちが軽くなったかも。
[B] 俺もそうだな。なんか素直に話せてよかったよ、ありがと。
[C] こちらこそ、みんなの考え聞けて楽しかったよ。また違う本の話とかもしたいな。
